Cesta,Lokacija,Smer,Št. vozil [N/h],Hitrost [km/h],Razmik [s],Zasedenost [%],Čas,Stanje
AC-A1,Krtina-Domžale ACsmer LJ (v)996823.812.701.06.2026 10:00:00Zgoščen promet,smer LJ (v),996,82,3.8,12.7,01.06.2026 10:00:00,Zgoščen promet
,smer LJ (p)4921058.03.901.06.2026 10:00:00Normalen promet,smer LJ (p),492,105,8.0,3.9,01.06.2026 10:00:00,Normalen promet
AC-A1,Priključek LJ Jugizvoz iz R.Kozarje2285216.23.801.06.2026 10:00:00Normalen promet,izvoz iz R.Kozarje,228,52,16.2,3.8,01.06.2026 10:00:00,Normalen promet
,izvoz iz R.Malence (v)432677.95.101.06.2026 10:00:00Normalen promet,izvoz iz R.Malence (v),432,67,7.9,5.1,01.06.2026 10:00:00,Normalen promet
,izvoz iz R.Malence (p)2886712.24.101.06.2026 10:00:00Normalen promet,izvoz iz R.Malence (p),288,67,12.2,4.1,01.06.2026 10:00:00,Normalen promet
,uvoz proti R. Kozarje420487.98.301.06.2026 10:00:00Normalen promet,uvoz proti R. Kozarje,420,48,7.9,8.3,01.06.2026 10:00:00,Normalen promet
,uvoz proti R.Malence468538.58.501.06.2026 10:00:00Normalen promet,uvoz proti R.Malence,468,53,8.5,8.5,01.06.2026 10:00:00,Normalen promet
AC-A1,LJ (južna obvoznica)LJ (Barjanska - Dolenjska) (v)1368892.515.701.06.2026 10:00:00Zgoščen promet,LJ (Barjanska - Dolenjska) (v),1368,89,2.5,15.7,01.06.2026 10:00:00,Zgoščen promet
,LJ (Barjanska - Dolenjska) (p)10801143.68.201.06.2026 10:00:00Zgoščen promet,LJ (Barjanska - Dolenjska) (p),1080,114,3.6,8.2,01.06.2026 10:00:00,Zgoščen promet
,LJ (Dolenjska - Barjanska) (v)1128863.214.601.06.2026 10:00:00Zgoščen promet,LJ (Dolenjska - Barjanska) (v),1128,86,3.2,14.6,01.06.2026 10:00:00,Zgoščen promet
,LJ (Dolenjska - Barjanska) (p)21001102.711.101.06.2026 10:00:00Zgoščen promet,LJ (Dolenjska - Barjanska) (p),2100,110,2.7,11.1,01.06.2026 10:00:00,Zgoščen promet
AC-A1,LJ (vzh. obvoznica)smer Malence (po)3007410.76.601.06.2026 10:00:00Povečan promet,smer Malence (po),300,74,10.7,6.6,01.06.2026 10:00:00,Povečan promet
,smer Malence (v)804914.38.001.06.2026 10:00:00Povečan promet,smer Malence (v),804,91,4.3,8.0,01.06.2026 10:00:00,Povečan promet
,smer Malence (p)8521134.36.201.06.2026 10:00:00Povečan promet,smer Malence (p),852,113,4.3,6.2,01.06.2026 10:00:00,Povečan promet
,smer Zadobrova (v)1068943.611.001.06.2026 10:00:00Zgoščen promet,smer Zadobrova (v),1068,94,3.6,11.0,01.06.2026 10:00:00,Zgoščen promet
,smer Zadobrova (p)8761154.66.401.06.2026 10:00:00Povečan promet,smer Zadobrova (p),876,115,4.6,6.4,01.06.2026 10:00:00,Povečan promet
AC-A1,Lopata ACArja vas - Celje (v)8041044.710.201.06.2026 10:00:00Zgoščen promet,Arja vas - Celje (v),804,104,4.7,10.2,01.06.2026 10:00:00,Zgoščen promet
,Arja vas - Celje (p)8881274.85.001.06.2026 10:00:00Povečan promet,Arja vas - Celje (p),888,127,4.8,5.0,01.06.2026 10:00:00,Povečan promet
,Celje - Arja vas (v)684985.08.401.06.2026 10:00:00Zgoščen promet,Celje - Arja vas (v),684,98,5.0,8.4,01.06.2026 10:00:00,Zgoščen promet
,Celje - Arja vas (p)7441215.05.301.06.2026 10:00:00Povečan promet,Celje - Arja vas (p),744,121,5.0,5.3,01.06.2026 10:00:00,Povečan promet
AC-A1,Hoče ACFram - Slivnica (v)924903.613.401.06.2026 10:00:00Zgoščen promet,Fram - Slivnica (v),924,90,3.6,13.4,01.06.2026 10:00:00,Zgoščen promet
,Fram - Slivnica (p)5041167.63.701.06.2026 10:00:00Normalen promet,Fram - Slivnica (p),504,116,7.6,3.7,01.06.2026 10:00:00,Normalen promet
,Slivnica - Fram (v)864934.111.001.06.2026 10:00:00Zgoščen promet,Slivnica - Fram (v),864,93,4.1,11.0,01.06.2026 10:00:00,Zgoščen promet
,Slivnica - Fram (p)6001096.34.801.06.2026 10:00:00Povečan promet,Slivnica - Fram (p),600,109,6.3,4.8,01.06.2026 10:00:00,Povečan promet
AC-A1,Dekani ACČrni Kal - Srmin (v)804924.211.401.06.2026 10:00:00Zgoščen promet,Črni Kal - Srmin (v),804,92,4.2,11.4,01.06.2026 10:00:00,Zgoščen promet
,Črni Kal - Srmin (p)4801057.63.801.06.2026 10:00:00Normalen promet,Črni Kal - Srmin (p),480,105,7.6,3.8,01.06.2026 10:00:00,Normalen promet
,Srmin - Črni Kal (v)660935.78.101.06.2026 10:00:00Zgoščen promet,Srmin - Črni Kal (v),660,93,5.7,8.1,01.06.2026 10:00:00,Zgoščen promet
,Srmin - Črni Kal (p)4081129.83.001.06.2026 10:00:00Normalen promet,Srmin - Črni Kal (p),408,112,9.8,3.0,01.06.2026 10:00:00,Normalen promet
AC-A1,Priključek Divačaizvoz KP606862.20.701.06.2026 10:00:00Normalen promet,izvoz KP,60,68,62.2,0.7,01.06.2026 10:00:00,Normalen promet
,izvoz LJ604459.01.501.06.2026 10:00:00Normalen promet,izvoz LJ,60,44,59.0,1.5,01.06.2026 10:00:00,Normalen promet
,uvoz KP607044.10.801.06.2026 10:00:00Normalen promet,uvoz KP,60,70,44.1,0.8,01.06.2026 10:00:00,Normalen promet
,uvoz LJ726041.91.201.06.2026 10:00:00Normalen promet,uvoz LJ,72,60,41.9,1.2,01.06.2026 10:00:00,Normalen promet
AC-A1,Čebulovica ACGabrk - Senožeče (v)000.00.001.06.2026 10:00:00Ni podatka,Gabrk - Senožeče (v),0,0,0.0,0.0,01.06.2026 10:00:00,Ni podatka
,Gabrk - Senožeče (p)000.00.001.06.2026 10:00:00Ni podatka,Gabrk - Senožeče (p),0,0,0.0,0.0,01.06.2026 10:00:00,Ni podatka
,Senožeče - Gabrk (v)7081075.57.701.06.2026 10:00:00Povečan promet,Senožeče - Gabrk (v),708,107,5.5,7.7,01.06.2026 10:00:00,Povečan promet
,Senožeče - Gabrk (p)5161337.53.101.06.2026 10:00:00Povečan promet,Senožeče - Gabrk (p),516,133,7.5,3.1,01.06.2026 10:00:00,Povečan promet
AC-A1,Priključek Kozinaizvoz KP1324922.62.301.06.2026 10:00:00Normalen promet,izvoz KP,132,49,22.6,2.3,01.06.2026 10:00:00,Normalen promet
,izvoz LJ1565728.12.301.06.2026 10:00:00Normalen promet,izvoz LJ,156,57,28.1,2.3,01.06.2026 10:00:00,Normalen promet
,uvoz KP964841.52.101.06.2026 10:00:00Normalen promet,uvoz KP,96,48,41.5,2.1,01.06.2026 10:00:00,Normalen promet
,uvoz LJ484685.41.001.06.2026 10:00:00Normalen promet,uvoz LJ,48,46,85.4,1.0,01.06.2026 10:00:00,Normalen promet
AC-A1,Ravbarkomanda ACPostojna - Unec (v)8761004.110.401.06.2026 10:00:00Zgoščen promet,Postojna - Unec (v),876,100,4.1,10.4,01.06.2026 10:00:00,Zgoščen promet
,Postojna - Unec (p)9241223.96.301.06.2026 10:00:00Povečan promet,Postojna - Unec (p),924,122,3.9,6.3,01.06.2026 10:00:00,Povečan promet
,Unec - Postojna (v)000.00.001.06.2026 10:00:00Ni podatka,Unec - Postojna (v),0,0,0.0,0.0,01.06.2026 10:00:00,Ni podatka
,Unec - Postojna (p)000.00.001.06.2026 10:00:00Ni podatka,Unec - Postojna (p),0,0,0.0,0.0,01.06.2026 10:00:00,Ni podatka
AC-A1,Priključek Unecizvoz iz KP1444726.32.801.06.2026 10:00:00Normalen promet,izvoz iz KP,144,47,26.3,2.8,01.06.2026 10:00:00,Normalen promet
,izvoz iz LJ384439.07.501.06.2026 10:00:00Normalen promet,izvoz iz LJ,384,43,9.0,7.5,01.06.2026 10:00:00,Normalen promet
,uvoz proti KP603868.32.101.06.2026 10:00:00Normalen promet,uvoz proti KP,60,38,68.3,2.1,01.06.2026 10:00:00,Normalen promet
,uvoz proti LJ1564626.23.501.06.2026 10:00:00Normalen promet,uvoz proti LJ,156,46,26.2,3.5,01.06.2026 10:00:00,Normalen promet
AC-A1,Priključek Postojnaizvoz KP1924816.83.201.06.2026 10:00:00Normalen promet,izvoz KP,192,48,16.8,3.2,01.06.2026 10:00:00,Normalen promet
,izvoz LJ (v)336569.85.801.06.2026 10:00:00Normalen promet,izvoz LJ (v),336,56,9.8,5.8,01.06.2026 10:00:00,Normalen promet
,izvoz LJ (p)000.00.001.06.2026 10:00:00Ni prometa,izvoz LJ (p),0,0,0.0,0.0,01.06.2026 10:00:00,Ni prometa
,uvoz KP000.00.001.06.2026 10:00:00Ni prometa,uvoz KP,0,0,0.0,0.0,01.06.2026 10:00:00,Ni prometa
,uvoz LJ2165111.05.101.06.2026 10:00:00Normalen promet,uvoz LJ,216,51,11.0,5.1,01.06.2026 10:00:00,Normalen promet
AC-A1,Priključek Razdrtoizvoz iz KP844143.71.901.06.2026 10:00:00Normalen promet,izvoz iz KP,84,41,43.7,1.9,01.06.2026 10:00:00,Normalen promet
,izvoz iz LJ2438422.71.001.06.2026 10:00:00Normalen promet,izvoz iz LJ,24,38,422.7,1.0,01.06.2026 10:00:00,Normalen promet
,uvoz proti KP1443924.43.801.06.2026 10:00:00Normalen promet,uvoz proti KP,144,39,24.4,3.8,01.06.2026 10:00:00,Normalen promet
,uvoz proti LJ3638157.61.301.06.2026 10:00:00Normalen promet,uvoz proti LJ,36,38,157.6,1.3,01.06.2026 10:00:00,Normalen promet
AC-A1,Pšata ACsmer LJ (v)000.00.001.06.2026 10:00:00Ni podatka,smer LJ (v),0,0,0.0,0.0,01.06.2026 10:00:00,Ni podatka
,smer LJ (p)000.00.001.06.2026 10:00:00Ni podatka,smer LJ (p),0,0,0.0,0.0,01.06.2026 10:00:00,Ni podatka
,smer MB (v)000.00.001.06.2026 10:00:00Ni podatka,smer MB (v),0,0,0.0,0.0,01.06.2026 10:00:00,Ni podatka
,smer MB (p)000.00.001.06.2026 10:00:00Ni podatka,smer MB (p),0,0,0.0,0.0,01.06.2026 10:00:00,Ni podatka
AC-A1,Kompolje ACsmer LJ (v)756975.010.701.06.2026 10:00:00Zgoščen promet,smer LJ (v),756,97,5.0,10.7,01.06.2026 10:00:00,Zgoščen promet
,smer LJ (p)6601256.04.401.06.2026 10:00:00Povečan promet,smer LJ (p),660,125,6.0,4.4,01.06.2026 10:00:00,Povečan promet
AC-A1,Priključek Krtinaizvoz CE603435.62.001.06.2026 10:00:00Normalen promet,izvoz CE,60,34,35.6,2.0,01.06.2026 10:00:00,Normalen promet
,izvoz LJ1324330.52.901.06.2026 10:00:00Normalen promet,izvoz LJ,132,43,30.5,2.9,01.06.2026 10:00:00,Normalen promet
,uvoz CE1084341.23.401.06.2026 10:00:00Normalen promet,uvoz CE,108,43,41.2,3.4,01.06.2026 10:00:00,Normalen promet
,uvoz LJ1203730.12.701.06.2026 10:00:00Normalen promet,uvoz LJ,120,37,30.1,2.7,01.06.2026 10:00:00,Normalen promet
AC-A1,Jasovnik ACTrojane - Vransko (v)732974.79.801.06.2026 10:00:00Zgoščen promet,Trojane - Vransko (v),732,97,4.7,9.8,01.06.2026 10:00:00,Zgoščen promet
,Trojane - Vransko (p)4681167.53.301.06.2026 10:00:00Normalen promet,Trojane - Vransko (p),468,116,7.5,3.3,01.06.2026 10:00:00,Normalen promet
,Vransko - Trojane (v)672925.18.601.06.2026 10:00:00Zgoščen promet,Vransko - Trojane (v),672,92,5.1,8.6,01.06.2026 10:00:00,Zgoščen promet
,Vransko - Trojane (p)5161117.44.001.06.2026 10:00:00Normalen promet,Vransko - Trojane (p),516,111,7.4,4.0,01.06.2026 10:00:00,Normalen promet
AC-A1,Pesnica ACsmer Avstrija (v)5281026.86.901.06.2026 10:00:00Povečan promet,smer Avstrija (v),528,102,6.8,6.9,01.06.2026 10:00:00,Povečan promet
,smer Avstrija (p)26413213.91.601.06.2026 10:00:00Normalen promet,smer Avstrija (p),264,132,13.9,1.6,01.06.2026 10:00:00,Normalen promet
,smer MB (v)6361025.97.701.06.2026 10:00:00Povečan promet,smer MB (v),636,102,5.9,7.7,01.06.2026 10:00:00,Povečan promet
,smer MB (p)4921258.63.301.06.2026 10:00:00Normalen promet,smer MB (p),492,125,8.6,3.3,01.06.2026 10:00:00,Normalen promet
AC-A1,Preloge ACSlov. Bistrica - Slov. Konjice (v)696964.99.201.06.2026 10:00:00Zgoščen promet,Slov. Bistrica - Slov. Konjice (v),696,96,4.9,9.2,01.06.2026 10:00:00,Zgoščen promet
,Slov. Bistrica - Slov. Konjice (p)5761206.33.901.06.2026 10:00:00Povečan promet,Slov. Bistrica - Slov. Konjice (p),576,120,6.3,3.9,01.06.2026 10:00:00,Povečan promet
,Slov. Konjice - Slov. Bistrica (v)600945.69.301.06.2026 10:00:00Povečan promet,Slov. Konjice - Slov. Bistrica (v),600,94,5.6,9.3,01.06.2026 10:00:00,Povečan promet
,Slov. Konjice - Slov.Bistrica (p)5641206.24.001.06.2026 10:00:00Povečan promet,Slov. Konjice - Slov.Bistrica (p),564,120,6.2,4.0,01.06.2026 10:00:00,Povečan promet
AC-A1,Vransko ACsmer LJ (v)672965.49.501.06.2026 10:00:00Povečan promet,smer LJ (v),672,96,5.4,9.5,01.06.2026 10:00:00,Povečan promet
