Cesta,Lokacija,Smer,Št. vozil [N/h],Hitrost [km/h],Razmik [s],Zasedenost [%],Čas,Stanje
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 00:55:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 00:55:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),0,0,0.0,0.0,05.06.2026 00:55:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),144,113,23.8,1.4,05.06.2026 00:55:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 01:00:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 01:00:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),0,0,0.0,0.0,05.06.2026 01:00:00,Ni prometa
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),108,110,30.4,1.1,05.06.2026 01:00:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 01:05:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 01:05:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),12,124,759.8,0.1,05.06.2026 01:05:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),84,98,40.9,1.2,05.06.2026 01:05:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 01:10:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 01:10:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),24,130,189.8,0.1,05.06.2026 01:10:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),180,97,24.8,3.0,05.06.2026 01:10:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 01:15:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 01:15:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),0,0,0.0,0.0,05.06.2026 01:15:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),108,101,30.6,1.4,05.06.2026 01:15:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 01:20:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 01:20:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),12,111,510.3,0.1,05.06.2026 01:20:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),120,94,29.5,1.9,05.06.2026 01:20:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 01:25:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 01:25:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),36,131,135.2,0.2,05.06.2026 01:25:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),60,100,57.8,0.7,05.06.2026 01:25:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 01:30:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 01:30:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),36,142,96.5,0.2,05.06.2026 01:30:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),144,105,25.1,1.8,05.06.2026 01:30:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 01:35:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 01:35:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),0,0,0.0,0.0,05.06.2026 01:35:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),72,120,52.6,0.6,05.06.2026 01:35:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 01:40:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 01:40:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),0,0,0.0,0.0,05.06.2026 01:40:00,Ni prometa
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),60,100,43.1,0.9,05.06.2026 01:40:00,Normalen promet
